rodent_uid,blood_sample,blood_sample_id,450,630,450-630,Programme,Result,,
NA,,neg,0.064,0.05,0.014,0.05,NA,0.182,
NA,,neg,0.132,0.082,0.05,0.031,NA,0.182,
1_LAL_001,TRUE,1,0.28,0.111,0.169,0.174,0.928571429,0.956043956,equivocal
1_LAL_002,TRUE,2,0.217,0.132,0.085,0.094,0.467032967,0.516483516,negative
1_LAL_003,TRUE,3,0.107,0.068,0.039,0.035,0.214285714,0.192307692,negative
1_LAL_004,TRUE,4,0.229,0.11,0.119,0.118,0.653846154,0.648351648,negative
1_LAL_005,TRUE,5,0.14,0.103,0.037,0.031,0.203296703,0.17032967,negative
1_LAL_006,TRUE,6,0.197,0.168,0.029,0.019,0.159340659,0.104395604,negative
1_LAL_007,TRUE,7,0.054,0.034,0.02,0.024,0.10989011,0.131868132,negative
1_LAL_008,TRUE,8,0.104,0.084,0.02,0.026,0.10989011,0.142857143,negative
1_LAL_009,TRUE,9,0.216,0.111,0.105,0.106,0.576923077,0.582417582,negative
1_LAL_010,TRUE,10,0.22,0.131,0.089,0.101,0.489010989,0.554945055,negative
1_LAL_011,TRUE,11,0.114,0.146,-0.032,0,-0.175824176,0,negative
1_LAL_012,TRUE,12,0.16,0.105,0.055,0.049,0.302197802,0.269230769,negative
1_LAL_013,TRUE,13,0.158,0.114,0.044,0.036,0.241758242,0.197802198,negative
NA,,pos,0.767,0.173,0.594,0.561,3.263736264,3.082417582,positive
