rodent_uid,blood_sample,blood_sample_id,450,630,450-630,Programme,Result,,
NA,,neg,0.064,0.05,0.014,0.05,NA,0.182,
NA,,neg,0.132,0.082,0.05,0.031,NA,0.182,
1_LAL_001,TRUE,1,0.28,0.111,0.169,0.174,0.928571429,0.956043956,equivocal
1_LAL_002,TRUE,2,0.217,0.132,0.085,0.094,0.467032967,0.516483516,negative
1_LAL_003,TRUE,3,0.107,0.068,0.039,0.035,0.214285714,0.192307692,negative
1_LAL_004,TRUE,4,0.229,0.11,0.119,0.118,0.653846154,0.648351648,negative
1_LAL_005,TRUE,5,0.14,0.103,0.037,0.031,0.203296703,0.17032967,negative
1_LAL_006,TRUE,6,0.197,0.168,0.029,0.019,0.159340659,0.104395604,negative
1_LAL_007,TRUE,7,0.054,0.034,0.02,0.024,0.10989011,0.131868132,negative
1_LAL_008,TRUE,8,0.104,0.084,0.02,0.026,0.10989011,0.142857143,negative
1_LAL_009,TRUE,9,0.216,0.111,0.105,0.106,0.576923077,0.582417582,negative
1_LAL_010,TRUE,10,0.22,0.131,0.089,0.101,0.489010989,0.554945055,negative
1_LAL_011,TRUE,11,0.114,0.146,-0.032,0,-0.175824176,0,negative
1_LAL_012,TRUE,12,0.16,0.105,0.055,0.049,0.302197802,0.269230769,negative
1_LAL_013,TRUE,13,0.158,0.114,0.044,0.036,0.241758242,0.197802198,negative
NA,,pos,0.767,0.173,0.594,0.561,3.263736264,3.082417582,positive
NA,,neg,0.072,0.05,0.022,,0.1835,,
NA,,neg,0.127,0.082,0.045,,,,
NA,,pos,1.41,0.115,1.295,,7.057220708,,positive
1_LAL_014,TRUE,14,0.203,0.127,0.076,,0.414168937,,negative
1_LAL_015,TRUE,15,0.117,0.116,0.001,,0.005449591,,negative
1_LAL_016,TRUE,16,0.146,0.118,0.028,,0.152588556,,negative
1_LAL_017,FALSE,17,0.464,0.283,0.181,,0.986376022,,equivocal
1_LAL_018,TRUE,18,0.307,0.226,0.081,,0.441416894,,negative
1_LAL_019,TRUE,19,0.094,0.034,0.06,,0.326975477,,negative
1_LAL_020,FALSE,20,0.138,0.075,0.063,,0.343324251,,negative
1_LAL_021,FALSE,21,0.25,0.145,0.105,,0.572207084,,negative
1_LAL_022,TRUE,22,0.156,0.147,0.009,,0.049046322,,negative
2_LAL_001,FALSE,23,0.113,0.095,0.018,,0.098092643,,negative
2_LAL_002,FALSE,24,0.142,0.125,0.017,,0.092643052,,negative
2_LAL_003,TRUE,25,0.125,0.145,-0.02,,-0.108991826,,negative
2_LAL_004,FALSE,26,0.262,0.211,0.051,,0.277929155,,negative
2_LAL_005,TRUE,27,0.061,0.022,0.039,,0.21253406,,negative
2_LAL_006,FALSE,28,0.11,0.086,0.024,,0.130790191,,negative
2_LAL_007,FALSE,29,0.119,0.083,0.036,,0.196185286,,negative
2_LAL_008,TRUE,30,0.174,0.155,0.019,,0.103542234,,negative
2_LAL_009,TRUE,31,0.069,0.05,0.019,,0.103542234,,negative
2_LAL_010,TRUE,32,0.112,0.1,0.012,,0.065395095,,negative
2_LAL_011,TRUE,33,0.105,0.085,0.02,,0.108991826,,negative
2_LAL_012,TRUE,34,0.335,0.253,0.082,,0.446866485,,negative
2_LAL_013,TRUE,35,0.05,0.023,0.027,,0.147138965,,negative
2_LAL_014,TRUE,36,0.069,0.051,0.018,,0.098092643,,negative
2_LAL_015,TRUE,37,0.102,0.086,0.016,,0.08719346,,negative
2_LAL_016,TRUE,38,0.135,0.106,0.029,,0.158038147,,negative
3_LAL_001,TRUE,39,0.208,0.068,0.14,,0.762942779,,negative
3_LAL_002,TRUE,40,0.132,0.101,0.031,,0.16893733,,negative
3_LAL_003,TRUE,41,0.203,0.074,0.129,,0.702997275,,negative
3_LAL_004,TRUE,42,0.196,0.137,0.059,,0.321525886,,negative
