sample_uid,blood_id,filter_id
1_SEI_008,missing,F98
1_SEI_009,missing,F99
1_SEI_010,missing,F100
1_SEI_011,missing,F101
1_SEI_012,missing,F102
1_SEI_013,missing,F103
1_SEI_014,missing,F104
1_SEI_015,missing,F105
1_SEI_016,missing,F106
1_SEI_017,missing,F107
1_SEI_018,missing,F108
1_SEI_019,missing,F109
1_SEI_020,missing,F110
1_SEI_021,missing,F111
1_SEI_022,missing,F112
1_SEI_023,missing,F113
1_SEI_024,missing,F114
1_SEI_025,missing,F115
1_SEI_026,missing,F116
1_SEI_027,missing,F117
1_BAM_014,missing,F377
2_BAI_001,missing,missing
2_BAI_002,missing,missing
2_BAI_003,missing,missing
2_BAI_004,missing,missing
2_BAI_005,missing,missing
2_BAI_006,missing,missing
2_BAI_007,missing,missing
2_BAI_008,missing,missing
2_BAI_009,missing,missing
2_BAI_010,missing,missing
2_BAI_011,missing,missing
2_BAI_012,missing,missing
2_BAI_013,missing,missing
2_BAI_014,missing,missing
2_BAI_015,missing,missing
2_BAI_016,missing,missing
2_BAI_017,missing,missing
2_BAI_018,missing,missing
2_BAI_019,missing,missing
4_LAM_001,339,F340
4_LAM_002,340,F341
4_LAM_003,341,F342
4_LAM_004,342,F343
4_LAM_005,343,F344
4_LAM_006,344,F345
4_LAM_007,345,F346
4_LAM_008,346,F347
4_LAM_009,347,F348
4_LAM_010,348,F349
4_LAM_011,349,F350
4_LAM_012,350,F351
4_LAM_013,351,F352
4_LAM_014,352,F353
4_LAM_015,353,F354
4_LAM_016,354,F355
4_LAM_017,355,F356
4_LAM_018,356,F357
4_LAM_019,357,F358
4_LAM_020,358,F359
4_LAM_021,359,F360
4_LAM_022,360,F361
4_LAM_023,361,F362
4_LAM_024,362,F363
4_LAM_025,363,F364
4_LAM_026,364,F365
4_LAM_027,365,F366
4_LAM_028,366,F367
4_LAM_029,367,F368
7_LAL_001,450,F450
7_LAL_002,451,F451
7_LAL_003,452,F452
7_LAL_004,453,F453
7_LAL_005,454,F454
7_LAL_006,455,F455
7_LAL_007,456,F456
7_LAL_008,457,F457
7_LAL_009,458,F458
7_LAL_010,459,F459
7_LAL_011,460,F460
7_LAL_012,461,F461
7_LAL_013,462,F462
7_BAI_001,463,F463
7_BAI_002,464,F464
7_BAI_003,465,F465
7_BAI_004,466,F466
7_BAI_005,467,F467
7_BAI_006,468,F468
7_BAI_007,469,F469
7_BAI_008,470,F470
7_BAI_009,471,F471
7_BAI_010,472,F472
7_BAI_011,473,F473
7_BAI_012,474,F474
7_BAI_013,475,F475
7_BAI_014,476,F476
7_BAI_015,477,F477
7_BAI_016,478,F478
7_BAI_017,479,F479
7_BAI_018,480,F480
7_BAI_019,481,F481
7_BAI_020,482,F482
7_BAI_021,483,F483
7_BAI_022,484,F484
7_LAM_001,485,F485
7_LAM_002,486,F486
7_LAM_003,487,F487
7_LAM_004,488,F488
7_LAM_005,489,F489
7_LAM_006,490,F490
7_LAM_007,491,F491
7_LAM_008,492,F492
7_LAM_009,493,F493
7_LAM_010,494,F494
7_LAM_011,495,F495
7_LAM_012,496,F496
7_LAM_013,497,F497
7_LAM_014,498,F498
7_SEI_001,499,F499
7_SEI_002,500,F500
7_SEI_003,501,F501
7_SEI_004,502,F502
7_SEI_005,503,F503
7_SEI_006,504,F504
7_SEI_007,505,F505
8_SEI_001,506,F506
8_SEI_002,507,F507
8_SEI_003,508,F508
8_SEI_004,509,F509
8_SEI_005,510,F510
8_SEI_006,511,F511
8_SEI_007,512,F512
8_SEI_008,513,F513
8_SEI_009,514,F514
8_SEI_010,515,F515
8_LAL_001,516,F516
8_LAL_002,517,F517
8_LAL_003,518,F518
8_LAL_004,519,F519
8_LAL_005,520,F520
8_LAL_006,521,F521
8_LAL_007,522,F522
8_LAL_008,523,F523
8_LAL_009,524,F524
8_LAL_010,525,F525
8_LAL_011,526,F526
8_LAM_001,527,F527
8_LAM_002,528,F528
8_LAM_003,529,F529
8_LAM_004,530,F530
8_BAI_001,531,F531
8_BAI_002,532,F532
8_BAI_003,533,F533
8_BAI_004,534,F534
8_BAI_005,535,F535
8_BAI_006,536,F536
8_BAI_007,537,F537
8_BAI_008,538,F538
8_BAI_009,539,F539
8_BAI_010,540,F540
8_BAI_011,541,F541
8_BAI_012,542,F542
8_BAI_013,543,F543
8_BAI_014,544,F544
8_LAM_005,545,F545
8_LAM_006,546,F546
8_LAM_007,547,F547
8_LAM_008,548,F548
8_LAM_009,549,F549
9_LAL_001,550,F550
9_LAL_002,551,F551
9_LAL_003,552,F552
9_LAL_004,553,F553
9_LAL_005,554,F554
9_LAL_006,555,F555
9_LAL_007,556,F556
9_LAL_008,557,F557
9_LAL_009,558,F558
9_LAL_010,559,F559
9_LAL_011,560,F560
9_LAL_012,561,F561
9_SEI_001,562,F562
9_SEI_002,563,F563
9_SEI_003,564,F564
9_SEI_004,565,F565
9_SEI_005,566,F566
9_SEI_006,567,F567
9_SEI_007,568,F568
9_SEI_008,569,F569
9_SEI_009,570,F570
9_SEI_010,571,F571
9_SEI_011,572,F572
9_SEI_012,573,F573
9_SEI_013,574,F574
9_SEI_014,575,F575
9_SEI_015,576,F576
9_SEI_016,577,F577
9_SEI_017,578,F578
9_SEI_018,579,F579
9_SEI_019,580,F580
9_SEI_020,581,F581
9_SEI_021,582,F582
9_LAM_001,583,F583
9_LAM_002,584,F584
9_LAM_003,585,F585
9_LAM_004,586,F586
9_LAM_005,587,F587
9_LAM_006,588,F588
9_LAM_007,589,F589
9_LAM_008,590,F590
9_LAM_009,591,F591
9_LAM_010,592,F592
9_LAM_011,593,F593
9_LAM_012,594,F594
9_LAM_013,595,F595
9_LAM_014,596,F596
9_LAM_015,597,F597
9_LAM_016,598,F598
9_LAM_017,599,F599
9_LAM_018,600,F600
9_LAM_019,601,F601
9_LAM_020,602,F602
9_LAM_021,603,F603
9_LAM_022,604,F604
9_BAI_001,605,F605
9_BAI_002,606,F606
9_BAI_003,607,F607
9_BAI_004,608,F608
9_BAI_005,609,F609
9_BAI_006,610,F610
9_BAI_007,611,F611
9_BAI_008,612,F612
10_LAL_001,613,F613
10_LAL_002,614,F614
10_LAL_003,615,F615
10_LAL_004,616,F616
10_LAL_005,617,F617
10_LAL_006,618,F618
10_LAL_007,619,F619
10_LAL_008,620,F620
10_LAL_009,621,F621
10_LAL_010,622,F622
10_LAL_011,623,F623
10_SEI_001,624,F624
10_SEI_002,625,F625
10_SEI_003,626,F626
10_SEI_004,627,F627
10_SEI_005,628,F628
10_SEI_006,629,F629
10_SEI_007,630,F630
10_SEI_008,631,F631
10_SEI_009,632,F632
10_SEI_010,633,F633
10_SEI_011,634,F634
10_SEI_012,635,F635
10_SEI_013,636,F636
10_SEI_014,637,F637
10_SEI_015,638,F638
10_SEI_016,639,F639
10_BAI_001,640,F640
10_BAI_002,641,F641
10_BAI_003,642,F642
10_BAI_004,643,F643
10_BAI_005,644,F644
10_BAI_006,645,F645
10_BAI_007,646,F646
10_BAI_008,647,F647
10_BAI_009,648,F648
10_BAI_010,649,F649
10_BAI_011,650,F650
10_BAI_012,651,F651
10_BAI_013,652,F652
10_BAI_014,653,F653
10_BAI_015,654,F654
10_BAI_016,655,F655
10_BAI_017,656,F656
10_BAI_018,657,F657
10_LAM_001,658,F658
10_LAM_002,659,F659
10_LAM_003,660,F660
10_LAM_004,661,F661
10_LAM_005,662,F662
10_LAM_006,663,F663
10_LAM_007,664,F664
10_LAM_008,665,F665
10_LAM_009,666,F666
10_LAM_010,667,F667
10_LAM_011,668,F668
10_LAM_012,669,F669
10_LAM_013,670,F670
10_LAM_014,671,F671
10_LAM_015,672,F672
10_LAM_016,673,F673
10_LAM_017,674,F674
10_LAM_018,675,F675
10_LAM_019,676,F676
10_LAM_020,677,F677
10_LAM_021,678,F678
10_LAM_022,679,F679
10_LAM_023,680,F680
10_LAM_024,681,F681
1_BAI_002,397,missing
3_SEI_008,442,missing
3_SEI_019,190,missing
3_SEI_020,191,missing
3_SEI_021,192,missing
3_SEI_022,193,missing
4_LAL_014,65,F49
5_LAL_012,91,F72
6_LAL_006,100,F81
