visit,rodent_uid,blood_id,filter_id
1,1_SEI_008,missing,F98
1,1_SEI_009,missing,F99
1,1_SEI_010,missing,F100
1,1_SEI_011,missing,F101
1,1_SEI_012,missing,F102
1,1_SEI_013,missing,F103
1,1_SEI_014,missing,F104
1,1_SEI_015,missing,F105
1,1_SEI_016,missing,F106
1,1_SEI_017,missing,F107
1,1_SEI_018,missing,F108
1,1_SEI_019,missing,F109
1,1_SEI_020,missing,F110
1,1_SEI_021,missing,F111
1,1_SEI_022,missing,F112
1,1_SEI_023,missing,F113
1,1_SEI_024,missing,F114
1,1_SEI_025,missing,F115
1,1_SEI_026,missing,F116
1,1_SEI_027,missing,F117
1,1_LAL_002,2,F2
1,1_LAL_004,4,F4
1,1_LAL_006,6,F6
1,1_LAL_009,9,F9
1,1_LAL_010,10,F10
1,1_LAL_018,18,F18
1,1_LAL_021,21,F21
1,1_SEI_001,110,F91
2,2_LAL_004,26,F23
2,2_LAL_012,34,F30
2,2_SEI_050,166,F183
2,2_SEI_056,172,F189
3,1_BAM_014,missing,F377
3,1_LAM_001,278,F279
3,3_LAL_001,39,F33
3,3_LAL_008,46,missing
3,3_LAL_011,49,missing
3,3_LAL_012,50,missing
3,3_SEI_002,174,missing
3,3_SEI_006,178,missing
3,3_SEI_011,182,F192
4,2_BAI_001,missing,missing
4,2_BAI_002,missing,missing
4,2_BAI_003,missing,missing
4,2_BAI_004,missing,missing
4,2_BAI_005,missing,missing
4,2_BAI_006,missing,missing
4,2_BAI_007,missing,missing
4,2_BAI_008,missing,missing
4,2_BAI_009,missing,missing
4,2_BAI_010,missing,missing
4,2_BAI_011,missing,missing
4,2_BAI_012,missing,missing
4,2_BAI_013,missing,missing
4,2_BAI_014,missing,missing
4,2_BAI_015,missing,missing
4,2_BAI_016,missing,missing
4,2_BAI_017,missing,missing
4,2_BAI_018,missing,missing
4,2_BAI_019,missing,missing
4,2_LAM_033,315,F317
4,4_LAL_003,54,F40
4,4_LAL_019,70,F53
4,4_SEI_014,209,F210
5,3_BAI_020,417,F398
5,3_LAM_005,323,F324
5,5_LAL_010,89,F70
5,5_LAL_015,94,F75
5,5_SEI_009,227,F228
5,5_SEI_019,237,F238
5,5_SEI_039,257,F258
6,4_LAM_001,339,F340
6,4_LAM_002,340,F341
6,4_LAM_003,341,F342
6,4_LAM_004,342,F343
6,4_LAM_005,343,F344
6,4_LAM_006,344,F345
6,4_LAM_007,345,F346
6,4_LAM_008,346,F347
6,4_LAM_009,347,F348
6,4_LAM_010,348,F349
6,4_LAM_011,349,F350
6,4_LAM_012,350,F351
6,4_LAM_013,351,F352
6,4_LAM_014,352,F353
6,4_LAM_015,353,F354
6,4_LAM_016,354,F355
6,4_LAM_017,355,F356
6,4_LAM_018,356,F357
6,4_LAM_019,357,F358
6,4_LAM_020,358,F359
6,4_LAM_021,359,F360
6,4_LAM_022,360,F361
6,4_LAM_023,361,F362
6,4_LAM_024,362,F363
6,4_LAM_025,363,F364
6,4_LAM_026,364,F365
6,4_LAM_027,365,F366
6,4_LAM_028,366,F367
6,4_LAM_029,367,F368
6,4_BAI_001,419,F399
6,6_LAL_004,98,F79
6,6_LAL_010,104,F85
6,6_SEI_003,265,F266
7,7_LAL_001,450,F427
7,7_LAL_002,451,F428
7,7_LAL_003,452,F429
7,7_LAL_004,453,F430
7,7_LAL_005,454,F431
7,7_LAL_006,455,F432
7,7_LAL_007,456,F433
7,7_LAL_008,457,F434
7,7_LAL_009,458,F435
7,7_LAL_010,459,F436
7,7_LAL_011,460,F437
7,7_LAL_012,461,F438
7,7_LAL_013,462,F439
7,7_BAI_001,463,F440
7,7_BAI_002,464,F441
7,7_BAI_003,465,F442
7,7_BAI_004,466,F443
7,7_BAI_005,467,F444
7,7_BAI_006,468,F445
7,7_BAI_007,469,F446
7,7_BAI_008,470,F447
7,7_BAI_009,471,F448
7,7_BAI_010,472,F449
7,7_BAI_011,473,F450
7,7_BAI_012,474,F451
7,7_BAI_013,475,F452
7,7_BAI_014,476,F453
7,7_BAI_015,477,F454
7,7_BAI_016,478,F455
7,7_BAI_017,479,F456
7,7_BAI_018,480,F457
7,7_BAI_019,481,F458
7,7_BAI_020,482,F459
7,7_BAI_021,483,F460
7,7_BAI_022,484,F461
7,7_LAM_001,485,F462
7,7_LAM_002,486,F463
7,7_LAM_003,487,F464
7,7_LAM_004,488,F465
7,7_LAM_005,489,F466
7,7_LAM_006,490,F467
7,7_LAM_007,491,F468
7,7_LAM_008,492,F469
7,7_LAM_009,493,F470
7,7_LAM_010,494,F471
7,7_LAM_011,495,F472
7,7_LAM_012,496,F473
7,7_LAM_013,497,F474
7,7_LAM_014,498,F475
7,7_SEI_001,499,NA
7,7_SEI_002,500,NA
7,7_SEI_003,501,NA
7,7_SEI_004,502,NA
7,7_SEI_005,503,NA
7,7_SEI_006,504,NA
7,7_SEI_007,505,NA
8,8_SEI_001,506,NA
8,8_SEI_002,507,NA
8,8_SEI_003,508,NA
8,8_SEI_004,509,NA
8,8_SEI_005,510,NA
8,8_SEI_006,511,NA
8,8_SEI_007,512,NA
8,8_SEI_008,513,NA
8,8_SEI_009,514,NA
8,8_SEI_010,515,NA
8,8_LAL_001,516,NA
8,8_LAL_002,517,NA
8,8_LAL_003,518,NA
8,8_LAL_004,519,NA
8,8_LAL_005,520,NA
8,8_LAL_006,521,NA
8,8_LAL_007,522,NA
8,8_LAL_008,523,NA
8,8_LAL_009,524,NA
8,8_LAL_010,525,NA
8,8_LAL_011,526,NA
